Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,662)","(n = 1,208)",(n = 454),"(n = 1,250)","(n = 1,036)",(n = 214),"(n = 2,295)","(n = 1,786)",(n = 509),"(n = 1,928)","(n = 1,560)",(n = 368)
,(Percent of farmers),,,,,,,,,,,
Herbicides,,,,,,,,,,,,
Butachlor + propanil,--,--,--,--,--,--,10.17,9.09,25,5.45,5.66,--
"2,4-D IBE",--,--,--,--,--,--,8.47,9.09,--,18.18,18.87,--
Cyhalofop butyl,--,--,--,--,--,--,3.39,1.82,25,9.09,9.43,--
Imazalil,9.09,9.43,--,--,--,--,--,--,--,--,--,--
Fenoxaprop p-ethyl,--,--,--,--,--,--,8.47,9.09,--,--,--,--
Pyribenzoxim,--,--,--,--,--,--,--,--,--,5.45,5.66,--
Insecticides,,,,,,,,,,,,
Cypermethrin,52.73,50.94,100,54.35,53.33,100,38.98,41.82,--,30.91,32.08,--
Betacyfluthrin,10.91,9.43,50,10.87,11.11,--,18.64,14.55,75,18.18,16.98,50
Methomyl,3.64,3.77,--,6.52,6.67,--,25.42,23.64,50,38.18,39.62,--
Chlorpyrifos + BPMC,3.64,3.77,--,4.35,2.22,100,5.08,5.45,--,10.91,9.43,50
Deltamethrin,14.55,15.09,--,19.57,20,--,20.34,18.18,50,7.27,7.55,--
Lambdacyhalothrin,--,--,--,4.35,4.44,--,25.42,25.45,25,14.55,15.09,--
Chlorpyrifos,9.09,9.43,--,--,--,--,18.64,18.18,25,--,--,--
Phentoate + BPMC,7.27,7.55,--,13.04,13.33,--,10.17,10.91,--,3.64,3.77,--
Carbofuran,--,--,--,--,--,--,5.08,3.64,25,7.27,7.55,--
